Transcript stable ID version	Gene stable ID	Gene name
ENSMUST00000053232.7	ENSMUSG00000059895	Ptp4a3
ENSMUST00000165541.7	ENSMUSG00000059895	Ptp4a3
ENSMUST00000167582.7	ENSMUSG00000059895	Ptp4a3
ENSMUST00000212402.1	ENSMUSG00000044162	Tnip3
ENSMUST00000212375.1	ENSMUSG00000044162	Tnip3
ENSMUST00000114236.1	ENSMUSG00000044162	Tnip3
ENSMUST00000177574.1	ENSMUSG00000093957	Esp3
ENSMUST00000166879.7	ENSMUSG00000021932	Rnaseh2b
ENSMUST00000022499.12	ENSMUSG00000021932	Rnaseh2b
ENSMUST00000094639.9	ENSMUSG00000027254	Map1a
ENSMUST00000110639.7	ENSMUSG00000027254	Map1a
ENSMUST00000021405.7	ENSMUSG00000021018	Polr2h
ENSMUST00000231656.1	ENSMUSG00000021018	Polr2h
ENSMUST00000231392.1	ENSMUSG00000021018	Polr2h
ENSMUST00000161038.1	ENSMUSG00000021018	Polr2h
ENSMUST00000233513.1	ENSMUSG00000073396	Esp1
ENSMUST00000161110.1	ENSMUSG00000073396	Esp1
ENSMUST00000023220.9	ENSMUSG00000022560	Slc52a2
ENSMUST00000004920.3	ENSMUSG00000004798	Ulk2
ENSMUST00000033824.7	ENSMUSG00000031447	Lamp1
ENSMUST00000041993.2	ENSMUSG00000041681	Iapp
ENSMUST00000162655.8	ENSMUSG00000032534	Cep63
ENSMUST00000093791.9	ENSMUSG00000032534	Cep63
ENSMUST00000216281.1	ENSMUSG00000032534	Cep63
ENSMUST00000215253.1	ENSMUSG00000032534	Cep63
ENSMUST00000213636.1	ENSMUSG00000032534	Cep63
ENSMUST00000161645.7	ENSMUSG00000032534	Cep63
ENSMUST00000162297.1	ENSMUSG00000032534	Cep63
ENSMUST00000062904.10	ENSMUSG00000039768	Dnajc11
ENSMUST00000147625.1	ENSMUSG00000039768	Dnajc11
ENSMUST00000020378.4	ENSMUSG00000020169	Best3
ENSMUST00000092566.7	ENSMUSG00000019838	Slc16a10
ENSMUST00000213827.1	ENSMUSG00000019838	Slc16a10
ENSMUST00000213488.1	ENSMUSG00000019838	Slc16a10
ENSMUST00000208728.1	ENSMUSG00000035228	Ccdc106
ENSMUST00000108571.8	ENSMUSG00000035228	Ccdc106
ENSMUST00000208042.1	ENSMUSG00000035228	Ccdc106
ENSMUST00000207974.1	ENSMUSG00000035228	Ccdc106
ENSMUST00000208161.1	ENSMUSG00000035228	Ccdc106
ENSMUST00000207215.1	ENSMUSG00000035228	Ccdc106
ENSMUST00000045543.7	ENSMUSG00000035228	Ccdc106
ENSMUST00000020208.4	ENSMUSG00000020021	Fgd6
ENSMUST00000038482.6	ENSMUSG00000036449	Lcn8
ENSMUST00000117638.1	ENSMUSG00000062518	Zfp534
ENSMUST00000002320.15	ENSMUSG00000002250	Ppard
ENSMUST00000232879.1	ENSMUSG00000002250	Ppard
ENSMUST00000166744.7	ENSMUSG00000002250	Ppard
ENSMUST00000169040.2	ENSMUSG00000002250	Ppard
ENSMUST00000073834.4	ENSMUSG00000060187	Lrrc10
ENSMUST00000187519.6	ENSMUSG00000042564	Fam227a
ENSMUST00000229064.1	ENSMUSG00000042564	Fam227a
ENSMUST00000109646.8	ENSMUSG00000042564	Fam227a
ENSMUST00000109648.8	ENSMUSG00000042564	Fam227a
ENSMUST00000066257.5	ENSMUSG00000028790	Khdrbs1
ENSMUST00000112597.7	ENSMUSG00000033623	Pcgf3
ENSMUST00000046975.11	ENSMUSG00000033623	Pcgf3
ENSMUST00000170419.2	ENSMUSG00000091624	Vmn2r9
ENSMUST00000233835.1	ENSMUSG00000091624	Vmn2r9
ENSMUST00000197180.5	ENSMUSG00000073077	Cfap47
ENSMUST00000101410.2	ENSMUSG00000073077	Cfap47
ENSMUST00000114021.3	ENSMUSG00000073077	Cfap47
ENSMUST00000179788.1	ENSMUSG00000073077	Cfap47
ENSMUST00000028858.7	ENSMUSG00000027379	Bub1
ENSMUST00000006716.7	ENSMUSG00000033227	Wnt6
ENSMUST00000032234.4	ENSMUSG00000008845	Cd163
ENSMUST00000112541.7	ENSMUSG00000008845	Cd163
ENSMUST00000086474.5	ENSMUSG00000066897	Olfr872
ENSMUST00000024958.8	ENSMUSG00000033597	Caskin1
ENSMUST00000234717.1	ENSMUSG00000033597	Caskin1
ENSMUST00000052029.9	ENSMUSG00000033526	Ppip5k1
ENSMUST00000110628.7	ENSMUSG00000033526	Ppip5k1
ENSMUST00000110627.7	ENSMUSG00000033526	Ppip5k1
ENSMUST00000110626.7	ENSMUSG00000033526	Ppip5k1
ENSMUST00000110625.7	ENSMUSG00000033526	Ppip5k1
ENSMUST00000132114.7	ENSMUSG00000033526	Ppip5k1
ENSMUST00000132613.7	ENSMUSG00000033526	Ppip5k1
ENSMUST00000127255.7	ENSMUSG00000033526	Ppip5k1
ENSMUST00000155568.2	ENSMUSG00000033526	Ppip5k1
ENSMUST00000134796.2	ENSMUSG00000033526	Ppip5k1
ENSMUST00000015435.10	ENSMUSG00000015291	Gdi1
ENSMUST00000153141.1	ENSMUSG00000015291	Gdi1
ENSMUST00000130581.1	ENSMUSG00000015291	Gdi1
ENSMUST00000228213.1	ENSMUSG00000095864	Vmn1r77
ENSMUST00000226525.1	ENSMUSG00000095864	Vmn1r77
ENSMUST00000227320.1	ENSMUSG00000095864	Vmn1r77
ENSMUST00000164446.1	ENSMUSG00000095864	Vmn1r77
ENSMUST00000043911.7	ENSMUSG00000038884	Shfl
ENSMUST00000071182.7	ENSMUSG00000072813	E330014E10Rik
ENSMUST00000197992.1	ENSMUSG00000106379	Lhfpl3
ENSMUST00000196406.1	ENSMUSG00000106379	Lhfpl3
ENSMUST00000062428.4	ENSMUSG00000043290	Zfp784
ENSMUST00000164759.7	ENSMUSG00000038371	Sbf2
ENSMUST00000166020.7	ENSMUSG00000038371	Sbf2
ENSMUST00000164599.7	ENSMUSG00000038371	Sbf2
ENSMUST00000164525.1	ENSMUSG00000038371	Sbf2
ENSMUST00000164559.1	ENSMUSG00000038371	Sbf2
ENSMUST00000171218.7	ENSMUSG00000038371	Sbf2
ENSMUST00000166885.1	ENSMUSG00000038371	Sbf2
ENSMUST00000033058.13	ENSMUSG00000038371	Sbf2
ENSMUST00000095541.10	ENSMUSG00000006342	Susd2
ENSMUST00000077610.5	ENSMUSG00000006342	Susd2
ENSMUST00000069324.6	ENSMUSG00000055633	Zfp580
ENSMUST00000208570.1	ENSMUSG00000055633	Zfp580
ENSMUST00000110160.8	ENSMUSG00000036151	Tm6sf2
ENSMUST00000049197.5	ENSMUSG00000036151	Tm6sf2
ENSMUST00000207107.1	ENSMUSG00000055670	Zzef1
ENSMUST00000069395.6	ENSMUSG00000055670	Zzef1
ENSMUST00000172220.7	ENSMUSG00000055670	Zzef1
ENSMUST00000075296.3	ENSMUSG00000059408	Mrgprh
ENSMUST00000111131.8	ENSMUSG00000068686	Cd59b
ENSMUST00000111132.7	ENSMUSG00000068686	Cd59b
ENSMUST00000129749.7	ENSMUSG00000068686	Cd59b
ENSMUST00000090429.7	ENSMUSG00000068686	Cd59b
ENSMUST00000111130.2	ENSMUSG00000068686	Cd59b
ENSMUST00000207901.1	ENSMUSG00000051184	Zfp524
ENSMUST00000086349.4	ENSMUSG00000051184	Zfp524
ENSMUST00000209030.1	ENSMUSG00000051184	Zfp524
ENSMUST00000209469.1	ENSMUSG00000056201	Cfl1
ENSMUST00000237122.1	ENSMUSG00000056201	Cfl1
ENSMUST00000116560.2	ENSMUSG00000056201	Cfl1
ENSMUST00000112756.7	ENSMUSG00000055003	Lrtm2
ENSMUST00000068351.13	ENSMUSG00000055003	Lrtm2
ENSMUST00000124192.1	ENSMUSG00000055003	Lrtm2
ENSMUST00000168793.7	ENSMUSG00000055003	Lrtm2
ENSMUST00000034227.5	ENSMUSG00000031775	Pllp
ENSMUST00000213043.1	ENSMUSG00000031775	Pllp
ENSMUST00000053748.15	ENSMUSG00000019978	Epb41l2
ENSMUST00000218903.1	ENSMUSG00000019978	Epb41l2
ENSMUST00000219900.1	ENSMUSG00000019978	Epb41l2
ENSMUST00000219967.1	ENSMUSG00000019978	Epb41l2
ENSMUST00000219805.1	ENSMUSG00000019978	Epb41l2
ENSMUST00000219224.1	ENSMUSG00000019978	Epb41l2
ENSMUST00000219166.1	ENSMUSG00000019978	Epb41l2
ENSMUST00000217929.1	ENSMUSG00000019978	Epb41l2
ENSMUST00000220121.1	ENSMUSG00000019978	Epb41l2
ENSMUST00000220290.1	ENSMUSG00000019978	Epb41l2
ENSMUST00000217943.1	ENSMUSG00000019978	Epb41l2
ENSMUST00000219372.1	ENSMUSG00000019978	Epb41l2
ENSMUST00000092645.6	ENSMUSG00000019978	Epb41l2
ENSMUST00000207050.1	ENSMUSG00000109129	Gm44973
ENSMUST00000075759.12	ENSMUSG00000026842	Abl1
ENSMUST00000123471.1	ENSMUSG00000026842	Abl1
ENSMUST00000028190.12	ENSMUSG00000026842	Abl1
ENSMUST00000124089.1	ENSMUSG00000026842	Abl1
ENSMUST00000164932.2	ENSMUSG00000050463	Krt78
ENSMUST00000167804.8	ENSMUSG00000061374	Fiz1
ENSMUST00000077385.14	ENSMUSG00000061374	Fiz1
ENSMUST00000165320.2	ENSMUSG00000061374	Fiz1
ENSMUST00000208944.1	ENSMUSG00000061374	Fiz1
ENSMUST00000207030.1	ENSMUSG00000061374	Fiz1
ENSMUST00000207946.1	ENSMUSG00000061374	Fiz1
ENSMUST00000209060.1	ENSMUSG00000061374	Fiz1
ENSMUST00000207412.1	ENSMUSG00000061374	Fiz1
ENSMUST00000189704.1	ENSMUSG00000100937	1700020D05Rik
ENSMUST00000043726.7	ENSMUSG00000038742	Angptl6
ENSMUST00000120285.7	ENSMUSG00000025724	Sec11a
ENSMUST00000026818.11	ENSMUSG00000025724	Sec11a
ENSMUST00000117383.7	ENSMUSG00000025724	Sec11a
ENSMUST00000119980.1	ENSMUSG00000025724	Sec11a
ENSMUST00000070172.5	ENSMUSG00000056185	Snx32
ENSMUST00000237111.1	ENSMUSG00000056185	Snx32
ENSMUST00000047534.11	ENSMUSG00000037503	Fam168b
ENSMUST00000170092.7	ENSMUSG00000037503	Fam168b
ENSMUST00000191307.6	ENSMUSG00000037503	Fam168b
ENSMUST00000185231.1	ENSMUSG00000037503	Fam168b
ENSMUST00000167518.7	ENSMUSG00000037503	Fam168b
ENSMUST00000057633.3	ENSMUSG00000045267	Tas2r119
ENSMUST00000043812.14	ENSMUSG00000004591	Pkn2
ENSMUST00000174422.7	ENSMUSG00000004591	Pkn2
ENSMUST00000173830.7	ENSMUSG00000004591	Pkn2
ENSMUST00000174680.1	ENSMUSG00000004591	Pkn2
ENSMUST00000047687.8	ENSMUSG00000041608	Entpd3
ENSMUST00000093832.10	ENSMUSG00000056271	Lman1l
ENSMUST00000018795.12	ENSMUSG00000018651	Tada2a
ENSMUST00000141852.1	ENSMUSG00000018651	Tada2a
